filename,filesize,modified,errors,md5,namespace,id,format,version,mime,class,basis,warning,ImageWidth,ImageHeight,TOEGANG_NUMMER,INVNUMMER,FILE_PATH
"8 - Langbroek, 1908-1949/8_680/8_680_0001.jpg",786209,2026-03-02T13:03:16Z,,e129976806954aacca19065d3f27e944,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [786207 2]],,2529,4069,8,680,"8 - Langbroek, 1908-1949/8_680/8_680_0001.jpg"
"8 - Langbroek, 1908-1949/8_680/8_680_0002.jpg",876160,2026-03-02T13:03:16Z,,943d12d320aeb55f0a335498b5452dbd,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [876158 2]],,2680,4230,8,680,"8 - Langbroek, 1908-1949/8_680/8_680_0002.jpg"
"8 - Langbroek, 1908-1949/8_680/8_680_0003.jpg",2627410,2026-03-02T13:03:16Z,,282425d1e24ba76d3cf3eba6a4bb786d,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [2627408 2]],,7316,3757,8,680,"8 - Langbroek, 1908-1949/8_680/8_680_0003.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0001.jpg",905790,2026-03-02T13:03:16Z,,9913b56fa5351dbd00de3aee8debfdf2,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [905788 2]],,2607,4030,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0001.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0002.jpg",786415,2026-03-02T13:03:16Z,,731c565927a3e263c49f395c0862c321,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [786413 2]],,2510,4041,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0002.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0003.jpg",1483642,2026-03-02T13:03:16Z,,e598a9d19f8a937934dbd953f2c41d3b,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [1483640 2]],,4900,4040,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0003.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0004.jpg",736314,2026-03-02T13:03:16Z,,6888dbd1f1228989910b40dbf8abae72,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [736312 2]],,2508,4035,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0004.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0005.jpg",829965,2026-03-02T13:03:16Z,,1feb03ac3ada3802215d1eb008960153,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [829963 2]],,2502,4040,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0005.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0006.jpg",1311308,2026-03-02T13:03:16Z,,7cb705f622343990dcd7032561ea9ca0,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [1311306 2]],,4883,4042,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0006.jpg"
"8 - Langbroek, 1908-1949/8_681/8_681_0007.jpg",714525,2026-03-02T13:03:16Z,,f76da24f775f119b0bd1fd9ae8f3dc37,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [714523 2]],,2500,4030,8,681,"8 - Langbroek, 1908-1949/8_681/8_681_0007.jpg"
