"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","MD5_HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"2","","file:/F:/Luchtfotos%20houten/poging_2/bestanden/","F:\Luchtfotos houten\poging_2\bestanden","bestanden","","Done","","Folder","","2024-08-30T15:50:44","false","","","","","",""
"12","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_001.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_001.jpg","1984_01_001.jpg","Signature","Done","14509774","File","jpg","2024-07-17T12:13:54","false","f92e2a35327a202234bc22b63fc8cc93","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"11","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_002.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_002.jpg","1984_01_002.jpg","Signature","Done","15040883","File","jpg","2024-07-17T12:13:54","false","7338d50258e6b44ed28fff041dc5db86","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"7","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_003.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_003.jpg","1984_01_003.jpg","Signature","Done","14161764","File","jpg","2024-07-17T12:13:54","false","bd6a992f03a8f6025aaadc6cd0d9dd94","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"4","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_004.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_004.jpg","1984_01_004.jpg","Signature","Done","14162340","File","jpg","2024-07-17T12:13:54","false","befd70a59d4c471932f0f168a6e52e1f","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"6","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_005.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_005.jpg","1984_01_005.jpg","Signature","Done","14376669","File","jpg","2024-07-17T12:13:56","false","9463a80bd88d16a0501760b70f22d438","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"5","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_006.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_006.jpg","1984_01_006.jpg","Signature","Done","14140962","File","jpg","2024-07-17T12:13:56","false","80c41ff2b182ea16ac1d6a34ce535613","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"10","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_007.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_007.jpg","1984_01_007.jpg","Signature","Done","12998928","File","jpg","2024-07-17T12:13:55","false","0ca53b9963c132f8a156acf906fc29c7","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"9","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_008.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_008.jpg","1984_01_008.jpg","Signature","Done","15071778","File","jpg","2024-07-17T12:13:57","false","a1d904637140ae8a91435fa2108ec434","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"13","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_009.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_009.jpg","1984_01_009.jpg","Signature","Done","15858987","File","jpg","2024-07-17T12:13:56","false","8503c02f1d330f58ed9eee02b3bc4a03","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"8","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_01_010.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_01_010.jpg","1984_01_010.jpg","Signature","Done","14066271","File","jpg","2024-07-17T12:13:57","false","685db40229ea81223884599befbe227c","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"3","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_012.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_012.jpg","1984_02_012.jpg","Signature","Done","13873441","File","jpg","2024-07-17T12:13:58","false","1b2bc70a055111a8b3cb05e8453c06dc","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"14","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_013.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_013.jpg","1984_02_013.jpg","Signature","Done","14480890","File","jpg","2024-07-17T12:13:59","false","d5ae2b67a89a6fb848adcdb42aaa57f6","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"15","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_014.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_014.jpg","1984_02_014.jpg","Signature","Done","13854871","File","jpg","2024-07-17T12:13:58","false","987515c3878584b5c3bb9b40a4d8d0fa","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"16","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_015.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_015.jpg","1984_02_015.jpg","Signature","Done","13271993","File","jpg","2024-07-17T12:14:00","false","07023943bbbac28149bc2734b7cfb57c","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"18","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_016.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_016.jpg","1984_02_016.jpg","Signature","Done","15086883","File","jpg","2024-07-17T12:13:59","false","0743d3dbf11983cd9d15d9041c33795b","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"21","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_017.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_017.jpg","1984_02_017.jpg","Signature","Done","14160177","File","jpg","2024-07-17T12:14:00","false","e59bea121ccad18fa3aa2fcf80cd71bc","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"23","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_018.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_018.jpg","1984_02_018.jpg","Signature","Done","15648823","File","jpg","2024-07-17T12:14:01","false","baa17960c5ee54febcd78a3a2fd1c988","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"22","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_019.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_019.jpg","1984_02_019.jpg","Signature","Done","14675950","File","jpg","2024-07-17T12:14:01","false","1af6e6dfbf3a6b3893b92f033b4092ca","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"20","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_02_020.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_02_020.jpg","1984_02_020.jpg","Signature","Done","14119166","File","jpg","2024-07-17T12:14:03","false","e21bd020d51858ce6be3730388414665","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"19","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_021.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_021.jpg","1984_03_021.jpg","Signature","Done","13771454","File","jpg","2024-07-17T12:14:04","false","f2b9cd7b7beb62f44a29911d0129b23a","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"24","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_022.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_022.jpg","1984_03_022.jpg","Signature","Done","14223599","File","jpg","2024-07-17T12:14:04","false","0fb98d84d42e54aae30c36ded98de635","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"25","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_023.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_023.jpg","1984_03_023.jpg","Signature","Done","14340239","File","jpg","2024-07-17T12:14:04","false","b84bf5f83a3c9b8620212267e5d1e9cb","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"17","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_024.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_024.jpg","1984_03_024.jpg","Signature","Done","13780317","File","jpg","2024-07-17T12:14:05","false","347bb665d0e314dace9615aaa386744e","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"26","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_025.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_025.jpg","1984_03_025.jpg","Signature","Done","13203020","File","jpg","2024-07-17T12:14:05","false","f72fa444f314383a1c35a34fdee3a4a9","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"27","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_026.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_026.jpg","1984_03_026.jpg","Signature","Done","13512710","File","jpg","2024-07-17T12:14:06","false","beac92179a11a1748eef3f043e376cb2","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"28","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_027.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_027.jpg","1984_03_027.jpg","Signature","Done","13636666","File","jpg","2024-07-17T12:14:07","false","982de73a30368d3673c05be896436542","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"31","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_028.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_028.jpg","1984_03_028.jpg","Signature","Done","14753223","File","jpg","2024-07-17T12:14:08","false","d8be8d5adab6c27519ce9b9a0b2f63b8","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"29","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_029.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_029.jpg","1984_03_029.jpg","Signature","Done","14033000","File","jpg","2024-07-17T12:14:08","false","38370c4b313bcf6e5c421c5369c34c12","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"30","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_03_030.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_03_030.jpg","1984_03_030.jpg","Signature","Done","16283587","File","jpg","2024-07-17T12:14:08","false","b360c2914222e8e7a218a249d6576326","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"38","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_031.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_031.jpg","1984_04_031.jpg","Signature","Done","14115241","File","jpg","2024-07-17T12:14:09","false","e8beb7bb6f387c09f05f70cb474f5345","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"39","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_032.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_032.jpg","1984_04_032.jpg","Signature","Done","13709792","File","jpg","2024-07-17T12:14:08","false","3ae26d263e896ad4d880a7c5b3cd2348","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"33","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_033.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_033.jpg","1984_04_033.jpg","Signature","Done","13916408","File","jpg","2024-07-17T12:14:10","false","002d3125456e65de0ea50017f82b9f2f","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"35","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_034.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_034.jpg","1984_04_034.jpg","Signature","Done","14240253","File","jpg","2024-07-17T12:14:11","false","2b571e9cd1accb2a96d7ae2b00686f06","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"32","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_035.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_035.jpg","1984_04_035.jpg","Signature","Done","13333916","File","jpg","2024-07-17T12:14:13","false","6b07225bc94b7f94634b01bcb9db1425","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"34","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_036.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_036.jpg","1984_04_036.jpg","Signature","Done","13437675","File","jpg","2024-07-17T12:14:13","false","b398e13c37ed3822ae2b0bd2fc5f7793","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"36","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_037.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_037.jpg","1984_04_037.jpg","Signature","Done","13993339","File","jpg","2024-07-17T12:14:13","false","35b210d4f0f892afb67c08f62554dcf9","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"41","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_038.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_038.jpg","1984_04_038.jpg","Signature","Done","16078243","File","jpg","2024-07-17T12:14:15","false","92027fbf9e1268cfc210273f1cf3fa1a","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"37","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_039.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_039.jpg","1984_04_039.jpg","Signature","Done","15902250","File","jpg","2024-07-17T12:14:15","false","db7197ca7f7e8d0e7048feaf16f8ccd5","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"40","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_04_040.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_04_040.jpg","1984_04_040.jpg","Signature","Done","15115013","File","jpg","2024-07-17T12:14:16","false","66db800d1b9a45157526080d7053df91","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"51","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_042.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_042.jpg","1984_05_042.jpg","Signature","Done","14242466","File","jpg","2024-07-17T12:14:16","false","7668114561be1310231d9f567fa7f0a3","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"44","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_043.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_043.jpg","1984_05_043.jpg","Signature","Done","12850012","File","jpg","2024-07-17T12:14:17","false","3bb4de7fff9a0e278c3929e4d046351e","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"46","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_044.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_044.jpg","1984_05_044.jpg","Signature","Done","12203807","File","jpg","2024-07-17T12:14:16","false","adfec9610dd96d4cc8e20e058469331d","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"43","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_045.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_045.jpg","1984_05_045.jpg","Signature","Done","12133509","File","jpg","2024-07-17T12:14:18","false","4b9e59fcc6c03982553acc8fe19819c4","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"42","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_046.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_046.jpg","1984_05_046.jpg","Signature","Done","11679401","File","jpg","2024-07-17T12:14:17","false","a1a354f4c39c25acd9acab173ce0fc65","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"45","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_047.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_047.jpg","1984_05_047.jpg","Signature","Done","12408761","File","jpg","2024-07-17T12:14:19","false","aa8876fc0dcb9584a17a65e1950353dc","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"48","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_048.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_048.jpg","1984_05_048.jpg","Signature","Done","13184552","File","jpg","2024-07-17T12:14:18","false","6208d2f14f93c577c56e214c1a5879df","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"47","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_049.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_049.jpg","1984_05_049.jpg","Signature","Done","13700722","File","jpg","2024-07-17T12:14:20","false","400fe6f89bc375102c4b504831b266df","1","fmt/1507","image/jpeg","Exchangeable Image File Format (Compressed)","2.3.x"
"49","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_05_050.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_05_050.jpg","1984_05_050.jpg","Signature","Done","15329352","File","jpg","2024-07-17T12:14:20","false","71ba774892f80d50867bbb761cbe6521","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"50","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_051.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_051.jpg","1984_06_051.jpg","Signature","Done","14671159","File","jpg","2024-07-17T12:14:22","false","a6f423dcec788ac546d61434fad321bc","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"55","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_052.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_052.jpg","1984_06_052.jpg","Signature","Done","14679773","File","jpg","2024-07-17T12:14:21","false","d405ec83b5b575015d44a8d4353b5563","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"62","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_053.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_053.jpg","1984_06_053.jpg","Signature","Done","14308379","File","jpg","2024-07-17T12:14:22","false","cef5faa256a8176cc131b606fe0d645e","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"59","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_054.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_054.jpg","1984_06_054.jpg","Signature","Done","13658264","File","jpg","2024-07-17T12:14:23","false","1fecda4abc45173407ac5470a1a520a6","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"53","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_055.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_055.jpg","1984_06_055.jpg","Signature","Done","13367140","File","jpg","2024-07-17T12:14:23","false","b75d5dd8095200c2398cbd7ba02687ce","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"57","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_056.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_056.jpg","1984_06_056.jpg","Signature","Done","12676594","File","jpg","2024-07-17T12:14:25","false","b904ecd5c2cdc5806d9a81b6389b81ce","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"54","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_057.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_057.jpg","1984_06_057.jpg","Signature","Done","13890684","File","jpg","2024-07-17T12:14:24","false","425541ba18f9f9b926acecf8887906fe","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"61","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_058.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_058.jpg","1984_06_058.jpg","Signature","Done","14001711","File","jpg","2024-07-17T12:14:25","false","aaf9e8a1e5f6b4f59a0091d2aab639f8","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"56","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_059.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_059.jpg","1984_06_059.jpg","Signature","Done","14314910","File","jpg","2024-07-17T12:14:27","false","988b5b821597a9eb4786f814c78acceb","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"58","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_06_060.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_06_060.jpg","1984_06_060.jpg","Signature","Done","16369202","File","jpg","2024-07-17T12:14:28","false","6b3eeac209f95503f44995dd3e5b2cb8","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"60","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_061.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_061.jpg","1984_07_061.jpg","Signature","Done","15568790","File","jpg","2024-07-17T12:14:29","false","f8bda58fd17b91d3ac17830dbb487b79","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"52","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_062.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_062.jpg","1984_07_062.jpg","Signature","Done","14174534","File","jpg","2024-07-17T12:14:29","false","a079e7cb052b154960dd242618ead644","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"63","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_063.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_063.jpg","1984_07_063.jpg","Signature","Done","14692068","File","jpg","2024-07-17T12:14:29","false","9cb3958d635f1ee82719b8b94b1f31f3","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"66","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_064.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_064.jpg","1984_07_064.jpg","Signature","Done","14041055","File","jpg","2024-07-17T12:14:31","false","aeb6da2f6e538129ac610af30297c8df","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"67","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_065.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_065.jpg","1984_07_065.jpg","Signature","Done","14419601","File","jpg","2024-07-17T12:14:31","false","e70db483d6e338e425aff713ab98263e","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"64","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_066.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_066.jpg","1984_07_066.jpg","Signature","Done","13283308","File","jpg","2024-07-17T12:14:31","false","ea3caf292c3d25a3e4338feefdb448a3","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"72","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_067.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_067.jpg","1984_07_067.jpg","Signature","Done","13804776","File","jpg","2024-07-17T12:14:32","false","4912febc938f07f2307ff89b0305c9f7","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"71","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_068.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_068.jpg","1984_07_068.jpg","Signature","Done","16048967","File","jpg","2024-07-17T12:14:35","false","7eb8b50f8788cc60ac432eb1a32cc1e3","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"74","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_069.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_069.jpg","1984_07_069.jpg","Signature","Done","15103534","File","jpg","2024-07-17T12:14:35","false","efa5f332cab232d979bde37f7b042670","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"69","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_07_070.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_07_070.jpg","1984_07_070.jpg","Signature","Done","14324266","File","jpg","2024-07-17T12:14:36","false","28169572da6063dd00a235af190262ab","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"70","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_071.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_071.jpg","1984_08_071.jpg","Signature","Done","14580252","File","jpg","2024-07-17T12:14:37","false","bc10d6916f6c1fb3c9457e9c05fadad7","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"73","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_072.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_072.jpg","1984_08_072.jpg","Signature","Done","14003974","File","jpg","2024-07-17T12:14:39","false","4cdaeadb6db6e3422b8e28cdb365c005","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"68","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_073.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_073.jpg","1984_08_073.jpg","Signature","Done","14098644","File","jpg","2024-07-17T12:14:39","false","e292956893d94c831212a8c74ae408a0","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"65","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_074.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_074.jpg","1984_08_074.jpg","Signature","Done","12835932","File","jpg","2024-07-17T12:14:39","false","02dc2c1d9f3915470db39043849be6ce","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"75","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_075.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_075.jpg","1984_08_075.jpg","Signature","Done","13536212","File","jpg","2024-07-17T12:14:40","false","837e0e239c89625bdce66b1e4690c2c3","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"76","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_076.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_076.jpg","1984_08_076.jpg","Signature","Done","14332731","File","jpg","2024-07-17T12:14:40","false","c2fd3d43b05aef64cbbfeac1a8e3bfa0","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"79","2","file:/F:/Luchtfotos%20houten/poging_2/bestanden/1984_08_077.jpg","F:\Luchtfotos houten\poging_2\bestanden\1984_08_077.jpg","1984_08_077.jpg","Signature","Done","14596184","File","jpg","2024-07-17T12:14:40","false","c69bd040e510cb57fd005f1ec3ba6ea7","1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
